signal,model,bin,n
Drift_Harmonic,Autoformer,"[0.0, 0.05)",0
Drift_Harmonic,Autoformer,"[0.05, 0.1)",0
Drift_Harmonic,Autoformer,"[0.1, 0.2)",0
Drift_Harmonic,Autoformer,"[0.2, inf)",56960
Drift_Harmonic,DLinear,"[0.0, 0.05)",0
Drift_Harmonic,DLinear,"[0.05, 0.1)",0
Drift_Harmonic,DLinear,"[0.1, 0.2)",2
Drift_Harmonic,DLinear,"[0.2, inf)",56958
Drift_Harmonic,FITS,"[0.0, 0.05)",0
Drift_Harmonic,FITS,"[0.05, 0.1)",0
Drift_Harmonic,FITS,"[0.1, 0.2)",0
Drift_Harmonic,FITS,"[0.2, inf)",56960
Drift_Harmonic,FreMLP,"[0.0, 0.05)",47601
Drift_Harmonic,FreMLP,"[0.05, 0.1)",1977
Drift_Harmonic,FreMLP,"[0.1, 0.2)",1501
Drift_Harmonic,FreMLP,"[0.2, inf)",5881
Drift_Harmonic,Linear,"[0.0, 0.05)",0
Drift_Harmonic,Linear,"[0.05, 0.1)",0
Drift_Harmonic,Linear,"[0.1, 0.2)",31
Drift_Harmonic,Linear,"[0.2, inf)",56929
Drift_Harmonic,MICN_Mean,"[0.0, 0.05)",36226
Drift_Harmonic,MICN_Mean,"[0.05, 0.1)",11484
Drift_Harmonic,MICN_Mean,"[0.1, 0.2)",1708
Drift_Harmonic,MICN_Mean,"[0.2, inf)",7542
Drift_Harmonic,MICN_Regre,"[0.0, 0.05)",49023
Drift_Harmonic,MICN_Regre,"[0.05, 0.1)",1932
Drift_Harmonic,MICN_Regre,"[0.1, 0.2)",795
Drift_Harmonic,MICN_Regre,"[0.2, inf)",5210
Drift_Harmonic,MLinear,"[0.0, 0.05)",28479
Drift_Harmonic,MLinear,"[0.05, 0.1)",15208
Drift_Harmonic,MLinear,"[0.1, 0.2)",4469
Drift_Harmonic,MLinear,"[0.2, inf)",8804
Drift_Harmonic,ModernTCN,"[0.0, 0.05)",1810
Drift_Harmonic,ModernTCN,"[0.05, 0.1)",35079
Drift_Harmonic,ModernTCN,"[0.1, 0.2)",18136
Drift_Harmonic,ModernTCN,"[0.2, inf)",1935
Drift_Harmonic,NBeats,"[0.0, 0.05)",52681
Drift_Harmonic,NBeats,"[0.05, 0.1)",1510
Drift_Harmonic,NBeats,"[0.1, 0.2)",1169
Drift_Harmonic,NBeats,"[0.2, inf)",1600
Drift_Harmonic,PatchTST,"[0.0, 0.05)",0
Drift_Harmonic,PatchTST,"[0.05, 0.1)",0
Drift_Harmonic,PatchTST,"[0.1, 0.2)",24242
Drift_Harmonic,PatchTST,"[0.2, inf)",32718
Drift_Harmonic,Transformer,"[0.0, 0.05)",14894
Drift_Harmonic,Transformer,"[0.05, 0.1)",16543
Drift_Harmonic,Transformer,"[0.1, 0.2)",10469
Drift_Harmonic,Transformer,"[0.2, inf)",15054
Dual_Phase_Modulation,Autoformer,"[0.0, 0.05)",0
Dual_Phase_Modulation,Autoformer,"[0.05, 0.1)",0
Dual_Phase_Modulation,Autoformer,"[0.1, 0.2)",0
Dual_Phase_Modulation,Autoformer,"[0.2, inf)",56960
Dual_Phase_Modulation,DLinear,"[0.0, 0.05)",0
Dual_Phase_Modulation,DLinear,"[0.05, 0.1)",0
Dual_Phase_Modulation,DLinear,"[0.1, 0.2)",0
Dual_Phase_Modulation,DLinear,"[0.2, inf)",56960
Dual_Phase_Modulation,FITS,"[0.0, 0.05)",0
Dual_Phase_Modulation,FITS,"[0.05, 0.1)",0
Dual_Phase_Modulation,FITS,"[0.1, 0.2)",0
Dual_Phase_Modulation,FITS,"[0.2, inf)",56960
Dual_Phase_Modulation,FreMLP,"[0.0, 0.05)",0
Dual_Phase_Modulation,FreMLP,"[0.05, 0.1)",0
Dual_Phase_Modulation,FreMLP,"[0.1, 0.2)",0
Dual_Phase_Modulation,FreMLP,"[0.2, inf)",56960
Dual_Phase_Modulation,Linear,"[0.0, 0.05)",0
Dual_Phase_Modulation,Linear,"[0.05, 0.1)",0
Dual_Phase_Modulation,Linear,"[0.1, 0.2)",0
Dual_Phase_Modulation,Linear,"[0.2, inf)",56960
Dual_Phase_Modulation,MICN_Mean,"[0.0, 0.05)",80
Dual_Phase_Modulation,MICN_Mean,"[0.05, 0.1)",19487
Dual_Phase_Modulation,MICN_Mean,"[0.1, 0.2)",27530
Dual_Phase_Modulation,MICN_Mean,"[0.2, inf)",9863
Dual_Phase_Modulation,MICN_Regre,"[0.0, 0.05)",320
Dual_Phase_Modulation,MICN_Regre,"[0.05, 0.1)",26144
Dual_Phase_Modulation,MICN_Regre,"[0.1, 0.2)",23318
Dual_Phase_Modulation,MICN_Regre,"[0.2, inf)",7178
Dual_Phase_Modulation,MLinear,"[0.0, 0.05)",0
Dual_Phase_Modulation,MLinear,"[0.05, 0.1)",0
Dual_Phase_Modulation,MLinear,"[0.1, 0.2)",0
Dual_Phase_Modulation,MLinear,"[0.2, inf)",56960
Dual_Phase_Modulation,ModernTCN,"[0.0, 0.05)",9
Dual_Phase_Modulation,ModernTCN,"[0.05, 0.1)",3816
Dual_Phase_Modulation,ModernTCN,"[0.1, 0.2)",28960
Dual_Phase_Modulation,ModernTCN,"[0.2, inf)",24175
Dual_Phase_Modulation,NBeats,"[0.0, 0.05)",0
Dual_Phase_Modulation,NBeats,"[0.05, 0.1)",0
Dual_Phase_Modulation,NBeats,"[0.1, 0.2)",0
Dual_Phase_Modulation,NBeats,"[0.2, inf)",56960
Dual_Phase_Modulation,PatchTST,"[0.0, 0.05)",0
Dual_Phase_Modulation,PatchTST,"[0.05, 0.1)",1
Dual_Phase_Modulation,PatchTST,"[0.1, 0.2)",6901
Dual_Phase_Modulation,PatchTST,"[0.2, inf)",50058
