signal,scheme,bin_lo,bin_hi,metric,group,n_windows,n_models,median,q25,q75,file_mean,file_sd
Drift_Harmonic,rel_mae,0.0,0.05,phase,Local receptive field,87059,3,1.0452368147680746,0.8046677925806562,1.3314928473424656,1.0970227458362578,0.3118266775328126
Drift_Harmonic,rel_mae,0.0,0.05,phase,Global attention,14894,1,1.5759382598163438,1.295461690027979,2.004459034732836,1.7193961503786332,0.23503056183465457
Drift_Harmonic,rel_mae,0.0,0.05,phase,Decomposition,47601,1,0.3908785484153986,0.27942961503842806,0.549715454627549,0.45171688484569844,0.07457492787264197
Drift_Harmonic,rel_mae,0.0,0.05,phase,Linear and MLP,81160,2,0.15836496827779029,0.06576885498082836,0.7796574309337977,0.7078215910796882,0.587639739157047
Drift_Harmonic,rel_mae,0.0,0.05,freq,Local receptive field,87059,3,8.796465141414078e-05,1.7140762419542988e-05,0.0004560926765074247,0.0004535585713504293,0.0005587918555751913
Drift_Harmonic,rel_mae,0.0,0.05,freq,Global attention,14894,1,0.0001250873395508001,1.3843401438062841e-05,0.0005968418864668867,0.0007684606036290811,0.0014855202012825665
Drift_Harmonic,rel_mae,0.0,0.05,freq,Decomposition,47601,1,6.476448456504968e-05,1.394995067161009e-05,0.00025350594802697746,0.00024394043097304813,0.000298057269957566
Drift_Harmonic,rel_mae,0.0,0.05,freq,Linear and MLP,81160,2,2.4281256852221045e-05,4.094764003065299e-06,0.0001163466596084406,0.000255943969453564,0.0004342226722378389
Drift_Harmonic,rel_mae,0.05,0.1,phase,Local receptive field,48495,3,1.901779336743151,1.2191065851688094,2.8767261204154093,2.3694303005112802,0.7810877128275493
Drift_Harmonic,rel_mae,0.05,0.1,phase,Global attention,16543,1,2.6429791377803453,1.9042209424827536,3.3608095163457197,2.7060697390591435,0.6166899652319727
Drift_Harmonic,rel_mae,0.05,0.1,phase,Decomposition,1977,1,1.3561242767544872,0.9482465840339962,1.984641076845939,1.553219934180576,0.6615375944240116
Drift_Harmonic,rel_mae,0.05,0.1,phase,Linear and MLP,16718,2,2.749806885527764,1.8821757611580043,3.606880137266776,3.1987871255304086,0.6416296718541253
