paradigm,level,signal,fidelity,n_models,tau,p_value,ci_lo,ci_hi,p_perm_gt0
clean,0,Drift_Harmonic,phase,12,0.7575757575757575,0.00024002425044091711,0.7272727272727272,0.7878787878787877,0.0
clean,0,Drift_Harmonic,freq,12,0.6969696969696969,0.0009744810873283095,0.6363636363636362,0.6969696969696969,0.0
clean,0,Single_Phase_Modulation,phase,12,0.8484848484848484,1.6342325370103148e-05,0.7575757575757575,0.8787878787878787,0.0
clean,0,Single_Phase_Modulation,freq,12,0.6969696969696969,0.0009744810873283095,0.5454545454545454,0.8484848484848484,0.0005
clean,0,Dual_Phase_Modulation,phase,12,0.9393939393939392,3.2150205761316875e-07,0.8787878787878787,0.9999999999999998,0.0
clean,0,Dual_Phase_Modulation,freq,12,0.8787878787878787,5.319397680508792e-06,0.606060606060606,0.9393939393939392,0.0
noise,1,Drift_Harmonic,phase,12,0.8484848484848484,1.6342325370103148e-05,0.8181818181818181,0.8787878787878787,0.0
noise,1,Drift_Harmonic,freq,12,0.7878787878787877,0.00010742344075677409,0.7272727272727272,0.7878787878787877,0.0
noise,1,Single_Phase_Modulation,phase,12,0.8181818181818181,4.4129288920955584e-05,0.7568181818181817,0.909090909090909,0.0
noise,1,Single_Phase_Modulation,freq,12,0.7878787878787877,0.00010742344075677409,0.6666666666666666,0.8787878787878787,0.0
noise,1,Dual_Phase_Modulation,phase,12,0.9999999999999998,4.17535139757362e-09,0.8181818181818181,0.9999999999999998,0.0
noise,1,Dual_Phase_Modulation,freq,12,0.1818181818181818,0.459023957331249,0.0606060606060606,0.4848484848484848,0.2235
noise,2,Drift_Harmonic,phase,12,0.8484848484848484,1.6342325370103148e-05,0.8477272727272727,0.909090909090909,0.0
noise,2,Drift_Harmonic,freq,12,0.7878787878787877,0.00010742344075677409,0.6969696969696969,0.8484848484848484,0.0005
noise,2,Single_Phase_Modulation,phase,12,0.8484848484848484,1.6342325370103148e-05,0.7272727272727272,0.8787878787878787,0.0
noise,2,Single_Phase_Modulation,freq,12,0.8787878787878787,5.319397680508792e-06,0.6969696969696969,0.909090909090909,0.0
noise,2,Dual_Phase_Modulation,phase,12,0.9999999999999998,4.17535139757362e-09,0.8181818181818181,0.9999999999999998,0.0
noise,2,Dual_Phase_Modulation,freq,12,0.1818181818181818,0.459023957331249,0.0606060606060606,0.4848484848484848,0.2235
noise,3,Drift_Harmonic,phase,12,0.8484848484848484,1.6342325370103148e-05,0.8181818181818181,0.8484848484848484,0.0
noise,3,Drift_Harmonic,freq,12,0.7575757575757575,0.00024002425044091711,0.6666666666666666,0.7878787878787877,0.0
noise,3,Single_Phase_Modulation,phase,12,0.8484848484848484,1.6342325370103148e-05,0.7272727272727272,0.909090909090909,0.0
noise,3,Single_Phase_Modulation,freq,12,0.8181818181818181,4.4129288920955584e-05,0.6969696969696969,0.909090909090909,0.0005
noise,3,Dual_Phase_Modulation,phase,12,0.9696969696969696,5.010421677088344e-08,0.7575757575757575,0.9999999999999998,0.0
noise,3,Dual_Phase_Modulation,freq,12,0.2727272727272727,0.24957952123750735,0.12045454545454548,0.6666666666666666,0.13
noise,4,Drift_Harmonic,phase,11,0.7818181818181819,0.0003334435626102293,0.7454545454545454,0.7818181818181819,0.0005
noise,4,Drift_Harmonic,freq,11,0.7454545454545454,0.000759529822029822,0.7090909090909091,0.7818181818181819,0.001
noise,4,Single_Phase_Modulation,phase,12,0.8484848484848484,1.6342325370103148e-05,0.6969696969696969,0.9393939393939392,0.0
noise,4,Single_Phase_Modulation,freq,12,0.8484848484848484,1.6342325370103148e-05,0.7575757575757575,0.909090909090909,0.0
noise,4,Dual_Phase_Modulation,phase,12,0.6363636363636362,0.003181646992410881,0.4848484848484848,0.8484848484848484,0.0005
noise,4,Dual_Phase_Modulation,freq,12,0.6363636363636362,0.003181646992410881,0.303030303030303,0.8181818181818181,0.003
noise,5,Drift_Harmonic,phase,12,0.8484848484848484,1.6342325370103148e-05,0.8181818181818181,0.8484848484848484,0.0
noise,5,Drift_Harmonic,freq,12,0.7272727272727272,0.0004988835110362888,0.6363636363636362,0.7878787878787877,0.0005
noise,5,Single_Phase_Modulation,phase,12,0.6969696969696969,0.0009744810873283095,0.4848484848484848,0.7575757575757575,0.0005
noise,5,Single_Phase_Modulation,freq,12,0.6969696969696969,0.0009744810873283095,0.5757575757575757,0.8181818181818181,0.0005
noise,5,Dual_Phase_Modulation,phase,12,0.5454545454545454,0.013770768197851531,0.303030303030303,0.7575757575757575,0.0055
noise,5,Dual_Phase_Modulation,freq,12,0.5151515151515151,0.020980351631393297,0.3333333333333333,0.7272727272727272,0.01
noise,6,Drift_Harmonic,phase,12,0.6969696969696969,0.0009744810873283095,0.6363636363636362,0.7272727272727272,0.0005
noise,6,Drift_Harmonic,freq,12,0.606060606060606,0.005380307706696595,0.5151515151515151,0.6363636363636362,0.002
noise,6,Single_Phase_Modulation,phase,12,0.5757575757575757,0.008757732750788306,0.3636363636363636,0.6666666666666666,0.0015
noise,6,Single_Phase_Modulation,freq,12,0.6363636363636362,0.003181646992410881,0.5151515151515151,0.7272727272727272,0.0
noise,6,Dual_Phase_Modulation,phase,12,0.606060606060606,0.005380307706696595,0.2727272727272727,0.7272727272727272,0.0025
noise,6,Dual_Phase_Modulation,freq,12,0.4848484848484848,0.031050242838437284,0.2727272727272727,0.6666666666666666,0.014
shift,0,Drift_Harmonic,phase,12,0.7575757575757575,0.00024002425044091711,0.7272727272727272,0.7878787878787877,0.0
shift,0,Drift_Harmonic,freq,12,0.6969696969696969,0.0009744810873283095,0.6363636363636362,0.6969696969696969,0.0
shift,0,Single_Phase_Modulation,phase,12,0.8484848484848484,1.6342325370103148e-05,0.7575757575757575,0.8787878787878787,0.0
shift,0,Single_Phase_Modulation,freq,12,0.6969696969696969,0.0009744810873283095,0.5454545454545454,0.8484848484848484,0.0005
shift,0,Dual_Phase_Modulation,phase,12,0.9393939393939392,3.2150205761316875e-07,0.8787878787878787,0.9999999999999998,0.0
shift,0,Dual_Phase_Modulation,freq,12,0.8787878787878787,5.319397680508792e-06,0.606060606060606,0.9393939393939392,0.0
shift,1,Drift_Harmonic,phase,12,-0.0909090909090909,0.7373055246579552,-0.3333333333333333,0.1818181818181818,0.6875
shift,1,Drift_Harmonic,freq,12,-0.39393939393939387,0.0863171145983646,-0.4545454545454545,-0.2424242424242424,0.972
shift,1,Single_Phase_Modulation,phase,12,0.0,1.0,-0.1818181818181818,0.2727272727272727,0.511
shift,1,Single_Phase_Modulation,freq,12,-0.0606060606060606,0.8405883696421891,-0.1515151515151515,0.1818181818181818,0.64
shift,1,Dual_Phase_Modulation,phase,12,-0.0303030303030303,0.9465592891547753,-0.1818181818181818,0.1212121212121212,0.581
shift,1,Dual_Phase_Modulation,freq,12,0.39393939393939387,0.0863171145983646,0.3636363636363636,0.5151515151515151,0.0385
shift,2,Drift_Harmonic,phase,12,-0.5454545454545454,0.013770768197851531,-0.6969696969696969,-0.1515151515151515,0.9955
shift,2,Drift_Harmonic,freq,12,0.0,1.0,-0.0606060606060606,0.2121212121212121,0.5445
shift,2,Single_Phase_Modulation,phase,12,0.0,1.0,-0.1825757575757575,0.2121212121212121,0.5545
shift,2,Single_Phase_Modulation,freq,12,-0.0909090909090909,0.7373055246579552,-0.303030303030303,0.0909090909090909,0.6745
shift,2,Dual_Phase_Modulation,phase,12,-0.3333333333333333,0.15259045898802842,-0.5757575757575757,-0.0909090909090909,0.9415
shift,2,Dual_Phase_Modulation,freq,12,0.1515151515151515,0.5452047007776174,-0.0606060606060606,0.2727272727272727,0.273
shift,3,Drift_Harmonic,phase,12,-0.4242424242424242,0.06286914699241088,-0.6666666666666666,0.0606060606060606,0.976
shift,3,Drift_Harmonic,freq,12,-0.4242424242424242,0.06286914699241088,-0.4545454545454545,-0.1515151515151515,0.979
shift,3,Single_Phase_Modulation,phase,12,-0.0606060606060606,0.8405883696421891,-0.303030303030303,0.4848484848484848,0.621
shift,3,Single_Phase_Modulation,freq,12,0.1212121212121212,0.6383612539081289,-0.0606060606060606,0.2121212121212121,0.3215
shift,3,Dual_Phase_Modulation,phase,12,-0.0606060606060606,0.8405883696421891,-0.5757575757575757,0.303030303030303,0.626
shift,3,Dual_Phase_Modulation,freq,12,-0.1212121212121212,0.6383612539081289,-0.2121212121212121,0.1212121212121212,0.723
shift,4,Drift_Harmonic,phase,12,0.0,1.0,-0.1212121212121212,0.0909090909090909,0.521
shift,4,Drift_Harmonic,freq,12,-0.1515151515151515,0.5452047007776174,-0.2727272727272727,-0.0606060606060606,0.7735
shift,4,Single_Phase_Modulation,phase,12,0.0,1.0,-0.303030303030303,0.2727272727272727,0.535
shift,4,Single_Phase_Modulation,freq,12,0.2121212121212121,0.38070480349126185,0.0606060606060606,0.2121212121212121,0.1865
shift,4,Dual_Phase_Modulation,phase,12,-0.4848484848484848,0.031050242838437284,-0.6363636363636362,-0.09015151515151927,0.9925
shift,4,Dual_Phase_Modulation,freq,12,0.1212121212121212,0.6383612539081289,0.0,0.2424242424242424,0.3325
