idx	model	paradigm	condition	signal	seed	out
0	Linear	clean		Drift_Harmonic	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/clean/Drift_Harmonic/Linear/seed2021/pred.npy
1	Linear	clean		Drift_Harmonic	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/clean/Drift_Harmonic/Linear/seed2022/pred.npy
2	Linear	clean		Drift_Harmonic	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/clean/Drift_Harmonic/Linear/seed2023/pred.npy
3	Linear	clean		Single_Phase_Modulation	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/clean/Single_Phase_Modulation/Linear/seed2021/pred.npy
4	Linear	clean		Single_Phase_Modulation	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/clean/Single_Phase_Modulation/Linear/seed2022/pred.npy
5	Linear	clean		Single_Phase_Modulation	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/clean/Single_Phase_Modulation/Linear/seed2023/pred.npy
6	Linear	clean		Dual_Phase_Modulation	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/clean/Dual_Phase_Modulation/Linear/seed2021/pred.npy
7	Linear	clean		Dual_Phase_Modulation	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/clean/Dual_Phase_Modulation/Linear/seed2022/pred.npy
8	Linear	clean		Dual_Phase_Modulation	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/clean/Dual_Phase_Modulation/Linear/seed2023/pred.npy
9	DLinear	clean		Drift_Harmonic	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/clean/Drift_Harmonic/DLinear/seed2021/pred.npy
10	DLinear	clean		Drift_Harmonic	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/clean/Drift_Harmonic/DLinear/seed2022/pred.npy
11	DLinear	clean		Drift_Harmonic	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/clean/Drift_Harmonic/DLinear/seed2023/pred.npy
12	DLinear	clean		Single_Phase_Modulation	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/clean/Single_Phase_Modulation/DLinear/seed2021/pred.npy
13	DLinear	clean		Single_Phase_Modulation	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/clean/Single_Phase_Modulation/DLinear/seed2022/pred.npy
14	DLinear	clean		Single_Phase_Modulation	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/clean/Single_Phase_Modulation/DLinear/seed2023/pred.npy
15	DLinear	clean		Dual_Phase_Modulation	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/clean/Dual_Phase_Modulation/DLinear/seed2021/pred.npy
16	DLinear	clean		Dual_Phase_Modulation	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/clean/Dual_Phase_Modulation/DLinear/seed2022/pred.npy
17	DLinear	clean		Dual_Phase_Modulation	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/clean/Dual_Phase_Modulation/DLinear/seed2023/pred.npy
18	FITS	clean		Drift_Harmonic	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/clean/Drift_Harmonic/FITS/seed2021/pred.npy
19	FITS	clean		Drift_Harmonic	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/clean/Drift_Harmonic/FITS/seed2022/pred.npy
20	FITS	clean		Drift_Harmonic	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/clean/Drift_Harmonic/FITS/seed2023/pred.npy
21	FITS	clean		Single_Phase_Modulation	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/clean/Single_Phase_Modulation/FITS/seed2021/pred.npy
22	FITS	clean		Single_Phase_Modulation	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/clean/Single_Phase_Modulation/FITS/seed2022/pred.npy
23	FITS	clean		Single_Phase_Modulation	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/clean/Single_Phase_Modulation/FITS/seed2023/pred.npy
24	FITS	clean		Dual_Phase_Modulation	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/clean/Dual_Phase_Modulation/FITS/seed2021/pred.npy
25	FITS	clean		Dual_Phase_Modulation	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/clean/Dual_Phase_Modulation/FITS/seed2022/pred.npy
26	FITS	clean		Dual_Phase_Modulation	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/clean/Dual_Phase_Modulation/FITS/seed2023/pred.npy
27	MLinear	clean		Drift_Harmonic	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/clean/Drift_Harmonic/MLinear/seed2021/pred.npy
28	MLinear	clean		Drift_Harmonic	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/clean/Drift_Harmonic/MLinear/seed2022/pred.npy
29	MLinear	clean		Drift_Harmonic	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/clean/Drift_Harmonic/MLinear/seed2023/pred.npy
30	MLinear	clean		Single_Phase_Modulation	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/clean/Single_Phase_Modulation/MLinear/seed2021/pred.npy
31	MLinear	clean		Single_Phase_Modulation	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/clean/Single_Phase_Modulation/MLinear/seed2022/pred.npy
32	MLinear	clean		Single_Phase_Modulation	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/clean/Single_Phase_Modulation/MLinear/seed2023/pred.npy
33	MLinear	clean		Dual_Phase_Modulation	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/clean/Dual_Phase_Modulation/MLinear/seed2021/pred.npy
