idx	model	paradigm	condition	signal	seed	out
0	Linear	tier2_ecg		ECG	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg/ECG/Linear/seed2021/pred.npy
1	Linear	tier2_ecg		ECG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg/ECG/Linear/seed2022/pred.npy
2	Linear	tier2_ecg		ECG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg/ECG/Linear/seed2023/pred.npy
3	DLinear	tier2_ecg		ECG	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg/ECG/DLinear/seed2021/pred.npy
4	DLinear	tier2_ecg		ECG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg/ECG/DLinear/seed2022/pred.npy
5	DLinear	tier2_ecg		ECG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg/ECG/DLinear/seed2023/pred.npy
6	FITS	tier2_ecg		ECG	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg/ECG/FITS/seed2021/pred.npy
7	FITS	tier2_ecg		ECG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg/ECG/FITS/seed2022/pred.npy
8	FITS	tier2_ecg		ECG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg/ECG/FITS/seed2023/pred.npy
9	MLinear	tier2_ecg		ECG	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg/ECG/MLinear/seed2021/pred.npy
10	MLinear	tier2_ecg		ECG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg/ECG/MLinear/seed2022/pred.npy
11	MLinear	tier2_ecg		ECG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg/ECG/MLinear/seed2023/pred.npy
12	NBeats	tier2_ecg		ECG	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg/ECG/NBeats/seed2021/pred.npy
13	NBeats	tier2_ecg		ECG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg/ECG/NBeats/seed2022/pred.npy
14	NBeats	tier2_ecg		ECG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg/ECG/NBeats/seed2023/pred.npy
15	FreMLP	tier2_ecg		ECG	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg/ECG/FreMLP/seed2021/pred.npy
16	FreMLP	tier2_ecg		ECG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg/ECG/FreMLP/seed2022/pred.npy
17	FreMLP	tier2_ecg		ECG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg/ECG/FreMLP/seed2023/pred.npy
18	MICN_Mean	tier2_ecg		ECG	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg/ECG/MICN_Mean/seed2021/pred.npy
